Territory ,Territory_code
Andorra,1
Argentina,2
Australia,3
Austria,4
Belgium-NL,5
Belgium-FR,65
Bolivia,6
Brazil,7
Bulgaria,8
Canada-EN,9
Canada-FR,67
Chile,10
Colombia,11
Costa Rica,12
Cyprus,13
Czech Republic,14
Denmark,15
Dominican Republic,16
Ecuador,17
El Salvador,18
Estonia,19
Finland,20
France,21
Germany,22
Greece,23
Guatemala,24
Honduras,25
Hong Kong,26
Hungary,27
Iceland,28
Indonesia,29
Ireland,30
Israel,31
Italy,32
Japan,33
Latvia,34
Liechtenstein,35
Lithuania,36
Luxembourg,37
Malaysia,38
Malta,39
Mexico,40
Monaco,41
Netherlands,42
New Zealand,43
Nicaragua,44
Norway,45
Panama,46
Paraguay,47
Peru,48
Philippines ,49
Poland,50
Portugal,51
Romania,66
Singapore,52
Slovakia,53
South Africa,54
Spain ,55
Sweden,56
Switzerland-DE,57
Switzerland-FR,69
Switzerland-IT,70
Taiwan,58
Thailand,59
Turkey,60
United Kingdom,61
Uruguay,62
USA,64
USA-ES,68
Vietnam,63
United Arab Emirates AR,71
United Arab Emirates EN,72
Bahrain AR,73
Bahrain EN,74
Algeria AR,75
Algeria FR,76
Egypt AR,77
Egypt FR,78
Jordan AR,79
Jordan EN,80
Kuwait AR,81
Kuwait EN,82
Lebanon AR,83
Lebanon EN,84
Morocco AR,85
Morocco FR,86
Oman AR,87
Oman EN,88
Palestine AR,89
Palestine EN,90
Qatar AR,91
Qatar EN,92
Saudi Arabia AR,93
Saudi Arabia EN,94
Tunisia AR,95
Tunisia FR,96
