,device_type,os_name,user_count,user_%
3,cell phone,iOS,5068169,87.99159628412838
1,cell phone,Android,2031990,35.278627001859256
12,personal computer,Windows,1004402,17.438040304293544
11,personal computer,Mac,698695,12.13047322726197
15,tablet,iOS,452968,7.864255786582701
4,connected audio device,other,369467,6.414543616108315
7,other,Browser,225019,3.9066931280820123
14,tablet,Android,146433,2.54231329276387
5,gaming console,other,48014,0.8336005575161641
13,smart tv device,other,30433,0.5283660133896243
10,personal computer,Linux,17634,0.30615470969384007
9,other,other,5882,0.10212101635585615
2,cell phone,Windows,2228,0.03868167705556741
0,built-in car application,other,894,0.015521283342763583
8,other,iOS,737,0.012795509869817406
6,other,Android,125,0.0021702018096705234
