,lvl_0,lvl_1,lvl_2,description,name,taggable,taxonomynodeid,path
195,Playlist,Mood,,,Anticipation,true,7bc01dab-0710-4b0b-99e7-d3ab6f377995,Playlist/Mood/Anticipation
196,Playlist,Mood,,,Chill,true,ad312d5e-b048-48b2-a863-a0625e4471f3,Playlist/Mood/Chill
197,Playlist,Mood,,,Disgust,true,ae1e5ecd-ef60-4e2b-9a5b-4b8589aa806c,Playlist/Mood/Disgust
198,Playlist,Mood,,,Energized,true,e5e4815d-40f2-40cf-8457-50f1da3e42f5,Playlist/Mood/Energized
199,Playlist,Mood,,,Feeling Good,true,fc7eaf4e-cc51-4c2e-aa0c-31a472436381,Playlist/Mood/Feeling Good
200,Playlist,Mood,,,Sad,true,3dec689f-737a-4a99-8cfb-5e2d9ab3d7b2,Playlist/Mood/Sad
201,Playlist,Mood,,,Hungover,true,cf96216b-70d0-4563-bc5f-2de288e35972,Playlist/Mood/Hungover
202,Playlist,Mood,,,Mellow,true,5ae76cf7-35c2-44f4-abfb-5af2508430b5,Playlist/Mood/Mellow
203,Playlist,Mood,,,Dramatic,true,2c5f62b7-383b-479c-96b8-f93ef42c6b2c,Playlist/Mood/Dramatic
204,Playlist,Mood,,,Motivated,true,b879077a-d94e-4911-b7c8-85edbc1d8aac,Playlist/Mood/Motivated
205,Playlist,Mood,,,Peaceful,true,8ee6194c-d53a-450f-b32a-eac8d48216e4,Playlist/Mood/Peaceful
206,Playlist,Mood,,,Quiet,true,f0ad0faf-069e-407f-9fd3-0d1cf4809b90,Playlist/Mood/Quiet
207,Playlist,Mood,,,Low-Key,true,869edfab-7236-4cc3-8f39-4d0c549412d2,Playlist/Mood/Low-Key
208,Playlist,Mood,,,Confident,true,0b7cc25a-2cd5-4c1f-846d-3a6f8d865e34,Playlist/Mood/Confident
209,Playlist,Mood,,,Surprise,true,ac74433c-b25f-4a80-ae24-f7d1544d2f32,Playlist/Mood/Surprise
210,Playlist,Mood,,,Swagger,true,c7b7db44-de02-4fd5-a020-21650b009190,Playlist/Mood/Swagger
211,Playlist,Mood,,,Evil,true,a2b3818e-b536-4a1e-b1eb-15be04f4c2d1,Playlist/Mood/Evil
212,Playlist,Mood,,,Dark,true,e35613af-7833-455a-b6b6-9afeef9d95aa,Playlist/Mood/Dark
213,Playlist,Mood,,,Inspiring,true,bbdcf68a-a88b-4be7-91f9-da4a1856753d,Playlist/Mood/Inspiring
214,Playlist,Mood,,,Angry,true,a21d9b80-b19e-480a-a714-25e2f3ad3bb8,Playlist/Mood/Angry
215,Playlist,Mood,,,Romantic,true,4d10a80e-1221-4679-9ac8-7fd55c9c7da3,Playlist/Mood/Romantic
216,Playlist,Mood,,,Rainy Day,true,480fa9ae-670c-4044-ae56-b6c2f2c2da0a,Playlist/Mood/Rainy Day
217,Playlist,Mood,,,Happy,true,77889d6d-8058-4c76-a4af-3bf5c586c750,Playlist/Mood/Happy
218,Playlist,Mood,,,Free,true,1e078bfd-480e-4d44-93a1-ad5d7a3a48be,Playlist/Mood/Free
219,Playlist,Mood,,,Feeling Down,true,286340ad-1b0e-414d-b8ba-4755bbbd31fc,Playlist/Mood/Feeling Down
220,Playlist,Mood,,,Empowered,true,7efef582-eabd-4bea-9bd9-d615a80f7aec,Playlist/Mood/Empowered
221,Playlist,Mood,,,Soulful,true,4592900c-3bef-4f5a-b78d-766ff4b9725d,Playlist/Mood/Soulful
